generation, best, average, worst
1,	-2190.24153327369,	-8244.0484898581,	-14430.1437985418
2,	-849.785352053492,	-5358.47242756116,	-12181.4024967223
3,	-156.207978589882,	-3730.85224925825,	-12905.4235815158
4,	406.992885181113,	-2390.28204000952,	-9955.22469162696
5,	895.895656037785,	-1474.48549151324,	-7274.9824651309
6,	2280.09474097773,	-909.459682965991,	-6403.93852355805
7,	2175.71958262519,	81.7403175668651,	-7388.63118509142
8,	2314.4792597736,	357.748692196685,	-6725.18774676378
9,	3126.73699218676,	986.15567382863,	-4058.2506847632
10,	3126.73699218676,	1387.8828095103,	-4320.06430166257
11,	3877.24299372765,	1641.30565169397,	-3201.34731688721
12,	5009.66633800694,	2545.06979061699,	-1288.08733631402
13,	5056.78906041538,	2841.47375447101,	-1462.70911891555
14,	5238.77517727869,	3562.6941464847,	-1975.01907886046
15,	6096.08826209981,	4100.0407263682,	388.829777045394
16,	6922.09643088872,	4584.91042467555,	234.398279415534
17,	6922.09643088872,	5139.01741228484,	799.265823900947
18,	6922.09643088872,	6069.41717672782,	2262.85640284666
19,	7995.68837804142,	6775.9258669704,	2900.0996265155
20,	8259.19018177823,	6975.4630527805,	4988.77900260573
21,	8602.69196445279,	7236.9074578817,	2865.72578955759
22,	8602.69196445279,	7752.37656475017,	4092.92731008844
23,	9155.88667110275,	7801.36736321263,	4265.59648132241
24,	9155.88667110275,	8441.01528852997,	6682.25785534194
25,	9155.88667110275,	8595.34730273537,	5783.14701633597
26,	9155.88667110275,	9042.56612690966,	6007.6269549715
27,	9155.88667110275,	9155.88667110273,	9155.88667110275
28,	9155.88667110275,	9146.36976236734,	8204.19579756357
29,	9155.88667110275,	9155.88667110273,	9155.88667110275
30,	9194.30531523628,	9150.88891598455,	8617.69251515138
31,	9194.30531523628,	9105.57399795614,	7091.49357008793
32,	9194.30531523628,	8873.70627647715,	6158.25741555743
33,	9194.30531523628,	8984.70982319248,	6812.39801628328
34,	9194.30531523628,	9193.92112879496,	9155.88667110275
35,	9194.30531523628,	9194.3053152363,	9194.30531523628
36,	9486.16164061275,	9197.22387849006,	9194.30531523628
