generation, best, average, worst
37,	9486.16164061275,	9173.03337165011,	7893.90040692033
38,	9486.16164061275,	9290.61790261053,	9194.30531523628
39,	9691.35932323055,	9434.56182802809,	8104.50108187678
40,	9907.57288674057,	9470.25049234709,	7490.55105120873
41,	10169.6666644986,	9516.23537202978,	6754.2137185984
42,	10169.6666644986,	9706.13930722636,	4991.66484981969
43,	10245.5976663643,	9812.00677098252,	7546.31887437346
44,	10613.9033119726,	9898.46664492083,	7807.12068911693
45,	10613.9033119726,	10105.6206645878,	8214.60659717687
46,	10875.6603666475,	10256.2360705397,	8210.37502129135
47,	10875.6603666475,	10549.3511839451,	8868.48633523782
48,	10875.6603666475,	10573.1421894756,	7763.3400485582
49,	10887.7368663633,	10695.7164776477,	8868.48633523782
50,	10922.0456242156,	10816.8231111983,	8699.78963844676
51,	11095.8348234069,	10662.7422166196,	7104.80473698071
52,	11095.8348234069,	10546.6877057396,	7545.6470288581
53,	11461.5403231025,	10644.4416647886,	6485.55915335504
54,	11461.5403231025,	10996.4861834332,	9338.36392263672
55,	12066.409085785,	10946.1811478991,	8776.95697852166
56,	12127.4035015317,	11353.846115673,	9123.19095667442
57,	12127.4035015317,	11589.5311273212,	8816.71031587951
58,	12195.4242254182,	11946.607473627,	9349.77738138908
59,	12195.4242254182,	12016.3456764672,	8913.90341099836
60,	12195.4242254182,	12171.3033585216,	11832.736234257
61,	12195.4242254182,	12164.6556552049,	9118.56720408793
62,	12195.4242254182,	12145.3611950226,	8853.03811191042
63,	12382.3091996952,	12179.7974927551,	10445.8659848323
64,	12382.3091996952,	12174.6683154325,	11082.6147853761
65,	12382.3091996952,	12113.5813612671,	9704.94164425304
66,	12382.3091996952,	12322.6364346503,	9520.20945641074
67,	12382.3091996952,	12382.3091996952,	12382.3091996952
68,	12382.3091996952,	12351.9842412152,	9349.81335169352
69,	12382.3091996952,	12360.2127617361,	10172.6654037896
70,	12382.3091996952,	12382.3091996952,	12382.3091996952
71,	12382.3091996952,	12349.1222066244,	9063.60989261945
72,	12382.3091996952,	12382.3091996952,	12382.3091996952
73,	12382.3091996952,	12382.3091996952,	12382.3091996952
74,	12382.3091996952,	12347.9322220719,	10074.1609379007
75,	12382.3091996952,	12382.3091996952,	12382.3091996952
76,	12382.3091996952,	12365.461181822,	10697.5074123793
77,	12382.3091996952,	12356.4803894624,	10991.1122969862
78,	12382.3091996952,	12376.45958059,	11797.3472891744
79,	12383.0862534133,	12382.3169702324,	12382.3091996952
80,	12383.0862534133,	12378.8343892801,	12133.329997043
81,	12383.0862534133,	12367.7224664039,	11545.5387591412
82,	12383.0862534133,	12379.7515583114,	12052.7249581012
83,	12383.0862534133,	12383.0862534133,	12383.0862534133
84,	12383.0862534133,	12366.8885154089,	10763.3124529735
85,	12383.0862534133,	12367.5888216195,	10833.3430740336
86,	12383.0862534133,	12329.839819271,	9315.84309144169
87,	12383.0862534133,	12383.0862534133,	12383.0862534133
88,	12383.0862534133,	12383.0862534133,	12383.0862534133
89,	12383.0862534133,	12346.9082832601,	8765.28923810012
90,	12383.0862534133,	12344.4616727258,	9515.60092588089
91,	12383.0862534133,	12383.0862534133,	12383.0862534133
92,	12383.0862534133,	12379.2860504926,	12003.0659613492
93,	12383.0862534133,	12383.0862534133,	12383.0862534133
94,	12383.0862534133,	12325.0344191075,	9219.75033924079
95,	12383.0862534133,	12349.7576486528,	9050.22577736705
96,	12383.0862534133,	12383.0862534133,	12383.0862534133
97,	12383.0862534133,	12322.1068257818,	10183.8403248173
98,	12383.0862534133,	12383.0862534133,	12383.0862534133
99,	12383.0862534133,	12383.0862534133,	12383.0862534133
100,	12383.0862534133,	12345.2877447823,	9030.36962680512
